School Name,Grade,Year,Category,Number Tested,Mean Scale Score
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2013,Female,16,271
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2013,Male,13,290
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2014,Female,12,266
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2014,Male,11,281
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2013,Female,16,272
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2013,Male,27,271
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2014,Female,13,279
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2014,Male,13,284
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2013,Female,13,275
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2013,Male,17,273
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2014,Female,18,277
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2014,Male,28,273
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2013,Female,45,273
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2013,Male,57,276
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2014,Female,43,275
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2014,Male,52,277
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2013,Female,33,284
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2013,Male,32,297
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2014,Female,11,293
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2014,Male,14,295
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2013,Female,32,289
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2013,Male,32,291
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Female,29,290
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2014,Male,24,305
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Female,38,273
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2013,Male,41,267
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Female,28,283
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2014,Male,32,297
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2013,Female,103,281
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2013,Male,105,283
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2014,Female,68,288
"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",All Grades,2014,Male,70,299
THE CHILDREN'S WORKSHOP SCHOOL,3,2013,Female,22,294
THE CHILDREN'S WORKSHOP SCHOOL,3,2013,Male,16,307
THE CHILDREN'S WORKSHOP SCHOOL,3,2014,Female,18,299
THE CHILDREN'S WORKSHOP SCHOOL,3,2014,Male,17,308
THE CHILDREN'S WORKSHOP SCHOOL,4,2013,Female,20,304
THE CHILDREN'S WORKSHOP SCHOOL,4,2013,Male,20,297
THE CHILDREN'S WORKSHOP SCHOOL,4,2014,Female,19,292
THE CHILDREN'S WORKSHOP SCHOOL,4,2014,Male,16,317
THE CHILDREN'S WORKSHOP SCHOOL,5,2013,Female,17,296
THE CHILDREN'S WORKSHOP SCHOOL,5,2013,Male,6,285
THE CHILDREN'S WORKSHOP SCHOOL,5,2014,Female,19,323
THE CHILDREN'S WORKSHOP SCHOOL,5,2014,Male,16,313
THE CHILDREN'S WORKSHOP SCHOOL,All Grades,2013,Female,59,298
