School Name,Grade,Year,Category,Number Tested,Mean Scale Score
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2013,Male,17,274
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2014,Female,21,287
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2014,Male,30,294
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2013,Female,58,284
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2013,Male,83,280
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2014,Female,56,286
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",All Grades,2014,Male,83,283
THE EAST VILLAGE COMMUNITY SCHOOL,3,2013,Female,17,307
THE EAST VILLAGE COMMUNITY SCHOOL,3,2013,Male,20,282
THE EAST VILLAGE COMMUNITY SCHOOL,3,2014,Female,10,290
THE EAST VILLAGE COMMUNITY SCHOOL,3,2014,Male,17,299
THE EAST VILLAGE COMMUNITY SCHOOL,4,2013,Female,8,309
THE EAST VILLAGE COMMUNITY SCHOOL,4,2013,Male,8,325
THE EAST VILLAGE COMMUNITY SCHOOL,4,2014,Female,17,316
THE EAST VILLAGE COMMUNITY SCHOOL,4,2014,Male,19,295
THE EAST VILLAGE COMMUNITY SCHOOL,5,2013,Female,17,327
THE EAST VILLAGE COMMUNITY SCHOOL,5,2013,Male,8,295
THE EAST VILLAGE COMMUNITY SCHOOL,5,2014,Female,7,316
THE EAST VILLAGE COMMUNITY SCHOOL,5,2014,Male,8,334
THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,2013,Female,42,316
THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,2013,Male,36,295
THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,2014,Female,34,309
THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,2014,Male,44,303
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2013,Female,15,283
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2013,Male,12,278
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2014,Female,12,290
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2014,Male,10,295
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2013,Female,16,279
