School Name,Grade,Year,Category,Number Tested,Mean Scale Score
P.S. 110 FLORENCE NIGHTINGALE,4,2013,White,17,345
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Asian,7,331
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Black,6,303
P.S. 110 FLORENCE NIGHTINGALE,4,2014,Hispanic,23,304
P.S. 110 FLORENCE NIGHTINGALE,4,2014,White,16,341
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Asian,10,338
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Black,8,299
P.S. 110 FLORENCE NIGHTINGALE,5,2013,Hispanic,30,309
P.S. 110 FLORENCE NIGHTINGALE,5,2013,White,16,352
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Asian,5,s
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Black,8,311
P.S. 110 FLORENCE NIGHTINGALE,5,2014,Hispanic,16,300
P.S. 110 FLORENCE NIGHTINGALE,5,2014,White,13,367
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Asian,21,332
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Black,20,309
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,Hispanic,74,308
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,White,48,345
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Asian,18,339
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Black,21,298
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,Hispanic,75,306
P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,White,46,348
P.S. 134 HENRIETTA SZOLD,3,2013,Asian,13,323
P.S. 134 HENRIETTA SZOLD,3,2013,Black,14,298
P.S. 134 HENRIETTA SZOLD,3,2013,Hispanic,23,300
P.S. 134 HENRIETTA SZOLD,3,2013,White,1,s
P.S. 134 HENRIETTA SZOLD,3,2014,Asian,5,s
P.S. 134 HENRIETTA SZOLD,3,2014,Black,11,294
P.S. 134 HENRIETTA SZOLD,3,2014,Hispanic,27,304
P.S. 134 HENRIETTA SZOLD,3,2014,White,1,s
P.S. 134 HENRIETTA SZOLD,4,2013,Asian,13,320
P.S. 134 HENRIETTA SZOLD,4,2013,Black,13,284
P.S. 134 HENRIETTA SZOLD,4,2013,Hispanic,34,289
P.S. 134 HENRIETTA SZOLD,4,2013,White,1,s
P.S. 134 HENRIETTA SZOLD,4,2014,Asian,12,331
P.S. 134 HENRIETTA SZOLD,4,2014,Black,9,297
P.S. 134 HENRIETTA SZOLD,4,2014,Hispanic,19,298
P.S. 134 HENRIETTA SZOLD,4,2014,White,1,s
P.S. 134 HENRIETTA SZOLD,5,2013,Asian,11,317
P.S. 134 HENRIETTA SZOLD,5,2013,Black,6,288
P.S. 134 HENRIETTA SZOLD,5,2013,Hispanic,22,288
P.S. 134 HENRIETTA SZOLD,5,2014,Asian,10,325
P.S. 134 HENRIETTA SZOLD,5,2014,Black,11,286
P.S. 134 HENRIETTA SZOLD,5,2014,Hispanic,31,300
P.S. 134 HENRIETTA SZOLD,5,2014,White,1,s
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Asian,37,320
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Black,33,291
P.S. 134 HENRIETTA SZOLD,All Grades,2013,Hispanic,79,291
P.S. 134 HENRIETTA SZOLD,All Grades,2013,White,2,s
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Asian,27,326
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Black,31,292
P.S. 134 HENRIETTA SZOLD,All Grades,2014,Hispanic,77,301
P.S. 134 HENRIETTA SZOLD,All Grades,2014,White,3,s
P.S. 137 JOHN L. BERNSTEIN,3,2013,Asian,4,s
P.S. 137 JOHN L. BERNSTEIN,3,2013,Black,5,s
P.S. 137 JOHN L. BERNSTEIN,3,2013,Hispanic,18,268
P.S. 137 JOHN L. BERNSTEIN,3,2013,White,1,s
P.S. 137 JOHN L. BERNSTEIN,3,2014,Asian,5,s
P.S. 137 JOHN L. BERNSTEIN,3,2014,Black,12,276
P.S. 137 JOHN L. BERNSTEIN,3,2014,Hispanic,19,252
P.S. 137 JOHN L. BERNSTEIN,4,2013,Asian,2,s
P.S. 137 JOHN L. BERNSTEIN,4,2013,Black,7,270
P.S. 137 JOHN L. BERNSTEIN,4,2013,Hispanic,12,265
P.S. 137 JOHN L. BERNSTEIN,4,2013,White,2,s
P.S. 137 JOHN L. BERNSTEIN,4,2014,Asian,4,s
P.S. 137 JOHN L. BERNSTEIN,4,2014,Black,5,s
P.S. 137 JOHN L. BERNSTEIN,4,2014,Hispanic,15,262
P.S. 137 JOHN L. BERNSTEIN,4,2014,White,2,s
P.S. 137 JOHN L. BERNSTEIN,5,2013,Asian,2,s
P.S. 137 JOHN L. BERNSTEIN,5,2013,Black,7,277
P.S. 137 JOHN L. BERNSTEIN,5,2013,Hispanic,13,275
P.S. 137 JOHN L. BERNSTEIN,5,2013,White,1,s
P.S. 137 JOHN L. BERNSTEIN,5,2014,Asian,4,s
P.S. 137 JOHN L. BERNSTEIN,5,2014,Black,7,256
P.S. 137 JOHN L. BERNSTEIN,5,2014,Hispanic,9,266
P.S. 137 JOHN L. BERNSTEIN,5,2014,White,2,s
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Asian,8,309
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Black,19,276
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,Hispanic,43,269
P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,White,4,s
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Asian,13,307
P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,Black,24,271
